date,mean_temperature,daylength,site,PAR_incident
1999_04_01,14,12.79944444,LUSIGNAN,100
1999_04_02,11,12.85416667,LUSIGNAN,100
1999_04_03,12,12.90888889,LUSIGNAN,100
1999_04_04,14,12.96333333,LUSIGNAN,100
1999_04_05,14,13.01777778,LUSIGNAN,100
1999_04_06,14,13.0725,LUSIGNAN,100
1999_04_07,11,13.12638889,LUSIGNAN,100
1999_04_08,11,13.18055556,LUSIGNAN,100
1999_04_09,12,13.23472222,LUSIGNAN,100
1999_04_10,9,13.28861111,LUSIGNAN,100
1999_04_11,7,13.34222222,LUSIGNAN,100
1999_04_12,10,13.39583333,LUSIGNAN,100
1999_04_13,10,13.44944444,LUSIGNAN,100
1999_04_14,8,13.50277778,LUSIGNAN,100
1999_04_15,5,13.55583333,LUSIGNAN,100
1999_04_16,6,13.60833333,LUSIGNAN,100
1999_04_17,9,13.66111111,LUSIGNAN,100
1999_04_18,7,13.71361111,LUSIGNAN,100
1999_04_19,8,13.76583333,LUSIGNAN,100
1999_04_20,11,13.81777778,LUSIGNAN,100
1999_04_21,12,13.86944444,LUSIGNAN,100
1999_04_22,13,13.92083333,LUSIGNAN,100
1999_04_23,10,13.97194444,LUSIGNAN,100
1999_04_24,10,14.02277778,LUSIGNAN,100
1999_04_25,11,14.07333333,LUSIGNAN,100
1999_04_26,13,14.12361111,LUSIGNAN,100
1999_04_27,15,14.17333333,LUSIGNAN,100
1999_04_28,14,14.22305556,LUSIGNAN,100
1999_04_29,15,14.27222222,LUSIGNAN,100
1999_04_30,15,14.32083333,LUSIGNAN,100
1999_05_01,16,14.36916667,LUSIGNAN,100
1999_05_02,17,14.41722222,LUSIGNAN,100
1999_05_03,17,14.46472222,LUSIGNAN,100
1999_05_04,16,14.51166667,LUSIGNAN,100
1999_05_05,15,14.55861111,LUSIGNAN,100
1999_05_06,16,14.60444444,LUSIGNAN,100
1999_05_07,17,14.65027778,LUSIGNAN,100
1999_05_08,14,14.69527778,LUSIGNAN,100
1999_05_09,17,14.73972222,LUSIGNAN,100
1999_05_10,17,14.78361111,LUSIGNAN,100
1999_05_11,16,14.82722222,LUSIGNAN,100
1999_05_12,15,14.87,LUSIGNAN,100
1999_05_13,15,14.91194444,LUSIGNAN,100
1999_05_14,15,14.95361111,LUSIGNAN,100
1999_05_15,15,14.99444444,LUSIGNAN,100
1999_05_16,13,15.03472222,LUSIGNAN,100
1999_05_17,10,15.07416667,LUSIGNAN,100
1999_05_18,13,15.11277778,LUSIGNAN,100
1999_05_19,14,15.15055556,LUSIGNAN,100
1999_05_20,13,15.18777778,LUSIGNAN,100
1999_05_21,15,15.22388889,LUSIGNAN,100
1999_05_22,15,15.25944444,LUSIGNAN,100
1999_05_23,15,15.29416667,LUSIGNAN,100
1999_05_24,17,15.32805556,LUSIGNAN,100
1999_05_25,17,15.36055556,LUSIGNAN,100
1999_05_26,18,15.3925,LUSIGNAN,100
1999_05_27,20,15.42333333,LUSIGNAN,100
1999_05_28,18,15.45333333,LUSIGNAN,100
1999_05_29,20,15.48222222,LUSIGNAN,100
1999_05_30,21,15.51,LUSIGNAN,100
1999_05_31,21,15.53694444,LUSIGNAN,100
1999_06_01,21,15.56277778,LUSIGNAN,100
1999_06_02,18,15.5875,LUSIGNAN,100
1999_06_03,16,15.61083333,LUSIGNAN,100
1999_06_04,15,15.63361111,LUSIGNAN,100
1999_06_05,14,15.65472222,LUSIGNAN,100
1999_06_06,15,15.675,LUSIGNAN,100
1999_06_07,14,15.69388889,LUSIGNAN,100
1999_06_08,13,15.71166667,LUSIGNAN,100
1999_06_09,15,15.72833333,LUSIGNAN,100
1999_06_10,18,15.74361111,LUSIGNAN,100
1999_06_11,16,15.7575,LUSIGNAN,100
1999_06_12,17,15.77055556,LUSIGNAN,100
1999_06_13,16,15.78222222,LUSIGNAN,100
1999_06_14,16,15.79222222,LUSIGNAN,100
1999_06_15,19,15.80111111,LUSIGNAN,100
1999_06_16,20,15.80888889,LUSIGNAN,100
1999_06_17,21,15.81527778,LUSIGNAN,100
1999_06_18,19,15.82027778,LUSIGNAN,100
1999_06_19,19,15.82388889,LUSIGNAN,100
1999_06_20,16,15.82638889,LUSIGNAN,100
1999_06_21,15,15.8275,LUSIGNAN,100
1999_06_22,14,15.82722222,LUSIGNAN,100
1999_06_23,17,15.82555556,LUSIGNAN,100
1999_06_24,19,15.82277778,LUSIGNAN,100
1999_06_25,22,15.81888889,LUSIGNAN,100
1999_06_26,20,15.81333333,LUSIGNAN,100
1999_06_27,16,15.80638889,LUSIGNAN,100
1999_06_28,16,15.79833333,LUSIGNAN,100
1999_06_29,20,15.78861111,LUSIGNAN,100
1999_06_30,19,15.77805556,LUSIGNAN,100
1999_07_01,19,15.76611111,LUSIGNAN,100
1999_07_02,24,15.75305556,LUSIGNAN,100
1999_07_03,21,15.73861111,LUSIGNAN,100
1999_07_04,19,15.72277778,LUSIGNAN,100
1999_07_05,18,15.70583333,LUSIGNAN,100
1999_07_06,19,15.68777778,LUSIGNAN,100
1999_07_07,19,15.66861111,LUSIGNAN,100
1999_07_08,20,15.64805556,LUSIGNAN,100
1999_07_09,21,15.62638889,LUSIGNAN,100
1999_07_10,21,15.60361111,LUSIGNAN,100
1999_07_11,24,15.58,LUSIGNAN,100
1999_07_12,24,15.555,LUSIGNAN,100
1999_07_13,23,15.52916667,LUSIGNAN,100
1999_07_14,20,15.50194444,LUSIGNAN,100
1999_07_15,19,15.47388889,LUSIGNAN,100
1999_07_16,20,15.44472222,LUSIGNAN,100
1999_07_17,22,15.41472222,LUSIGNAN,100
1999_07_18,21,15.38388889,LUSIGNAN,100
1999_07_19,21,15.35166667,LUSIGNAN,100
1999_07_20,19,15.31916667,LUSIGNAN,100
